"","X","index","func","f.0.hat","alpha","u","w","length","time","loglik"
"128",20,"3 Bris.111","lin.f.exp.u",8.06425130591995,-0.000808030179310401,1.53807681824014e-06,0.00237828389288196,1.45963506488136,0.376388889,15.4860727388744
"129",21,"3 Bris.112","lin.f.exp.u",9.10620179838345,-0.000361323852883565,0.000346692778239715,8.61576628628969e-05,1.47207530206897,0.373611111,2.58493283042248
"130",22,"3 Bris.6","lin.f.exp.u",11.576402552125,-0.000607559642131174,0.00274711781263883,-0.000400598384514451,1.4005623242069,0.371527778,-12.9660654693499
"131",23,"3 Cback.276","lin.f.exp.u",10.630364162334,-0.000749603159176615,0.00191323179956833,-0.000337526637114869,1.35238527152542,0.4,-9.22699185641056
"132",24,"3 Mid.244","lin.f.exp.u",9.26370269430636,-0.000491780096957348,0.00301566754929543,-0.000634768521695523,1.41194354721951,0.388888889,7.79331306094684
"133",25,"3 Mid.252","lin.f.exp.u",7.6484578512479,0.000181769586144098,0.000403967450859356,-0.000156789314670783,1.36394412,0.39375,28.0537693399887
"134",26,"3 Mid.281","lin.f.exp.u",9.18525627611014,-0.000744542899568377,1.25200513919875e-06,0.00172478117350757,1.44680455536842,0.392361111,16.3891295736866
"135",27,"3 War.5","lin.f.exp.u",9.90695686740775,-0.000778935305854774,0.000944335427954768,-0.000529706136662827,1.37220044033898,0.402777778,6.63026266596415
"136",1,"1 A45","exp.f.lin.u",16.410951023449,-0.00119577122092178,0.00260875544756348,-0.000210766272989404,1.211312278,0.361805556,-10.5984702899964
"137",2,"1 Bris.10","exp.f.lin.u",14.1092218550619,-0.00281080584831763,0.000916706591581063,-0.000281936045588887,1.13878509083929,0.353497023589286,-1.94661512210567
"138",3,"1 Bris.112","exp.f.lin.u",12.968967837543,-0.00219682517067657,0.000952359186512284,-0.000196002181342363,1.10486690375,0.354166667,7.16794682072535
"139",4,"1 Bris.6","exp.f.lin.u",5.90617454519628,-0.000572619085661785,0.00322232515254799,-0.000258050728430991,1.22824559792593,0.354861111,6.93856221611737
"140",5,"1 Cback.256","exp.f.lin.u",11.7252728574355,-0.00195882284088396,0.00516085905579323,-0.000364694954596423,0.9976276991,0.377777778,0.412918066141003
"141",6,"1 Dog.4","exp.f.lin.u",7.3177440098729,-0.000631654526605868,0.000413754376616724,0.00100340517748651,1.183708647,0.36875,1.40153452823002
"142",7,"1 Mid.276","exp.f.lin.u",15.0871266069304,-0.00767758418118956,0.00322317787476961,-0.000202473987668674,0.989833732898305,0.365972222,-4.29049886884782
"143",8,"1 Mid.277","exp.f.lin.u",18.4638435488014,-0.0026077245114851,0.00252554631655416,-0.000257897323411826,1.05608244710169,0.373611111,-4.93490912919335
"144",9,"1 War.5","exp.f.lin.u",14.8550138368239,-0.00121290946520695,0.000236317688977569,0.000252006355927644,1.18723608884211,0.377777778,-2.39141777795951
"145",10,"2 A45","exp.f.lin.u",14.6743840654044,-0.00112427109744622,0.000881020940353478,-0.000172642393813588,1.2272002925,0.359722222,15.3013565050629
"146",11,"2 A48","exp.f.lin.u",13.41289118867,-0.00195629791095874,0.00147719501858111,-0.000284874476013314,1.11175550446154,0.35625,9.21165401423082
"147",12,"2 Bris.10","exp.f.lin.u",13.3768260675413,-0.00780963682396939,1.29675977988533e-06,0.448591331086847,1.20990299162264,0.357638889,40.1511374621852
"148",13,"2 Dog.4","exp.f.lin.u",11.3632260137718,-0.00181619665355111,0.00111844807345342,-0.000258289366969824,1.16234332106667,0.359722222,24.5737884304434
"149",14,"2 Is.278","exp.f.lin.u",11.8864707083179,-0.0116502966726792,0.00147813915221235,-0.000335687912721052,1.06060503266667,0.363888889,37.7523634230886
"150",15,"2 Mid.263","exp.f.lin.u",12.3694128703398,-0.00211946156437117,0.00048701639414197,-6.2784079484031e-05,1.0843355754,0.357638889,42.263094937143
"151",16,"2 Mid.273","exp.f.lin.u",11.633667314769,-0.00256159940968576,1.78986740968403e-06,0.23556917411744,1.12794592922034,0.361111111,10.4977116368268
"152",17,"3 A43","exp.f.lin.u",7.67140751267993,-0.00087910234513774,0.00163326895478223,-0.000276258069146878,1.44190487859649,0.369444444,0.819920770016129
"153",18,"3 A45","exp.f.lin.u",6.99710148704131,6.9926866762986e-05,0.00170968677094709,-0.000122963268332811,1.5157437575,0.363194444,-6.5881658286117
"154",19,"3 Bris.10","exp.f.lin.u",8.42483671311095,-0.00120633266244427,0.000927634741434558,-0.000361852020483083,1.36795572035294,0.377083333,30.6102738436076
"155",20,"3 Bris.111","exp.f.lin.u",8.5904573975599,-0.00140469962781954,9.49779242071142e-07,0.152692634382856,1.45963506488136,0.376388889,16.2222446173997
"156",21,"3 Bris.112","exp.f.lin.u",9.10442039017512,-0.000406401526234265,0.000343386302272361,0.000105389471426208,1.47207530206897,0.373611111,2.4524432458424
"157",22,"3 Bris.6","exp.f.lin.u",11.8861460121881,-0.000851756225476173,0.00190587356769733,-0.000171194949166469,1.4005623242069,0.371527778,-12.7880719212509
"158",23,"3 Cback.276","exp.f.lin.u",11.0082089157486,-0.00111340802974398,0.00156681212724286,-0.000179500494485304,1.35238527152542,0.4,-8.69411100184545
"159",24,"3 Mid.244","exp.f.lin.u",9.37658060803783,-0.000625051355230075,0.00159898555892518,-0.000209505968370871,1.41194354721951,0.388888889,8.01467336760284
"160",25,"3 Mid.252","exp.f.lin.u",7.62712426085832,0.000185439035211576,0.00042753867424833,-0.000120519658293774,1.36394412,0.39375,28.1548629937135
"161",26,"3 Mid.281","exp.f.lin.u",9.62109617160752,-0.00116772750124643,1.76294056375084e-07,0.330951343520327,1.44680455536842,0.392361111,17.4900649826399
"162",27,"3 War.5","exp.f.lin.u",10.1466947899532,-0.00109220020693964,0.000575580606874552,-0.000207912870980874,1.37220044033898,0.402777778,6.62110424383295
"163",1,"1 A45","lin.f.con.u",16.8891273215615,-0.00108510694644798,0.000787255028637837,NA,1.211312278,0.361805556,-16.3013128718466
"164",2,"1 Bris.10","lin.f.con.u",13.9917791297724,-0.00148755435842944,0.000454746438687017,NA,1.13878509083929,0.353497023589286,-2.64017909720587
"165",3,"1 Bris.112","lin.f.con.u",12.9258259554476,-0.00138405924205816,0.000590324946545148,NA,1.10486690375,0.354166667,6.76125147430962
"166",4,"1 Bris.6","lin.f.con.u",5.96671751165917,-0.000556218606039765,0.00189201516140819,NA,1.22824559792593,0.354861111,6.17696632868029
"167",5,"1 Cback.256","lin.f.con.u",11.850114315127,-0.00152143442648821,0.00213888935624319,NA,0.9976276991,0.377777778,-2.44379658341585
"168",6,"1 Dog.4","lin.f.con.u",7.19133996733596,-0.000440974116163283,0.00113929630257846,NA,1.183708647,0.36875,1.0360879587159
"169",7,"1 Mid.276","lin.f.con.u",15.1073672130208,-0.00413789619854046,0.00248229043955367,NA,0.989833732898305,0.365972222,-4.12672757718277
"170",8,"1 Mid.277","lin.f.con.u",18.3458360161872,-0.00165225124292777,0.00109941144510817,NA,1.05608244710169,0.373611111,-8.43605011407324
"171",9,"1 War.5","lin.f.con.u",14.8069566621685,-0.000900437835094581,0.000408889542686191,NA,1.18723608884211,0.377777778,-2.60186016947843
"172",10,"2 A45","lin.f.con.u",13.9953630247361,-0.000724122760722137,0.000360935818167156,NA,1.2272002925,0.359722222,11.2989164529949
"173",11,"2 A48","lin.f.con.u",12.7068843347116,-0.00120947465491354,0.000589313012806621,NA,1.11175550446154,0.35625,7.68549749570025
"174",12,"2 Bris.10","lin.f.con.u",13.2602347145995,-0.00505428214245383,0.000579594767907423,NA,1.20990299162264,0.357638889,38.5344240532283
"175",13,"2 Dog.4","lin.f.con.u",10.9083493326069,-0.00115542293483957,0.000594969664839179,NA,1.16234332106667,0.359722222,23.5270707288537
"176",14,"2 Is.278","lin.f.con.u",11.8887384332399,-0.00754388107223477,0.00100970572523709,NA,1.06060503266667,0.363888889,37.692763656378
"177",15,"2 Mid.263","lin.f.con.u",12.0466689618994,-0.00144156459776472,0.00044044214600434,NA,1.0843355754,0.357638889,43.2266102677201
"178",16,"2 Mid.273","lin.f.con.u",10.4868946222046,-0.00126782731158687,0.000515475502135922,NA,1.12794592922034,0.361111111,8.02343435834227
"179",17,"3 A43","lin.f.con.u",7.50906067564376,-0.000634414259703501,0.000694445158297942,NA,1.44190487859649,0.369444444,-0.626435978517527
"180",18,"3 A45","lin.f.con.u",7.17666499887378,-6.10125999616477e-06,0.000844467162611906,NA,1.5157437575,0.363194444,-8.70402816610508
